pl_name,rad,raderr1,raderr2,mass,masserr1,maserr2,Reference,rp/rs,rprs_err,K,K_err,e,e_err,inc,inc_err,Per,Per_err
,,,,,,,,,,,,,,,,,
CoRoT-7 b,1.528,0.065,-0.065,6.056,0.653,-0.653,John 22,0.0172,0.001,4.291,0.46,0,,80.98,0.51,0.8535,0.000000587
EPIC 220674823 b,1.676,0.037,-0.037,7.8,0.71,-0.7,Guenther 24,0.01553,0.00029,6.36,0.57,0,,85.2,2.9,0.5713127,0.0000055
EPIC 249893012 b,1.95,0.09,-0.08,8.75,1.09,-1.08,,,,,,,,,,,
GJ 1252 b,1.18,0.078,-0.078,1.32,0.28,-0.28,,,,,,,,,,,
GJ 3473 b,1.264,0.05,-0.049,1.86,0.3,-0.3,,,,,,,,,,,
GJ 357 b,1.217,0.084,-0.083,1.84,0.31,-0.31,,,,,,,,,,,
GJ 3929 b,1.09,0.04,-0.04,1.75,0.44,-0.45,,,,,,,,,,,
GJ 9827 b,1.44,0.09,-0.07,4.28,0.35,-0.33,,,,,,,,,,,
GJ 9827 c,1.13,0.07,-0.05,1.86,0.37,-0.39,,,,,,,,,,,
GJ 9827 d,1.89,0.16,-0.14,3.02,0.58,-0.57,,,,,,,,,,,
HD 136352 b,1.664,0.043,-0.043,4.72,0.42,-0.42,Delrez+21,0.0144,0.0003,1.46,0.12,0,,88.49,0.17,11.57797,0.00008
HD 137496 b,1.31,0.06,-0.05,4.04,0.55,-0.55,,,,,,,,,,,
HD 15337 b,1.77,0.032,-0.03,6.519,0.409,-0.4,Gandolfi+19,0.0176,0.0006,3.08,0.44,0,,89.3,0.48,4.7559804,0.0000062
HD 20329 b,1.72,0.07,-0.07,7.42,1.09,-1.09,,,,,,,,,,,
HD 213885 b,1.745,0.051,-0.052,8.83,0.66,-0.65,Espinoza 2020,0.01453,0.00041,5.3,0.39,0,,80.09,0.62,1.008035,0.000021
HD 219134 b,1.602,0.055,-0.055,4.74,0.19,-0.19,Seager+21,0.018,0.001,2.38,0.08,0,,85.05,0.09,3.092926,0.00001
HD 219134 c,1.511,0.047,-0.047,4.36,0.22,-0.22,Seager+21,0.0177,0.0009,1.7,0.08,0,,87.28,0.1,6.76458,0.00033
HD 23472 b,1.872,1.321,-1.321,8.32,0.78,-0.78,,,,,,,,,,,
HD 23472 c,1.87,0.12,-0.11,3.41,0.88,-0.81,,,,,,,,,,,
HD 260655 b,1.24,0.023,-0.023,2.14,0.34,-0.34,,,,,,,,,,,
HD 260655 c,1.533,0.051,-0.046,3.09,0.48,-0.48,,,,,,,,,,,
HD 3167 b,1.67,0.17,-0.1,4.97,0.24,-0.23,Bourrier+22,0.0171,0.0009,3.56,0.15,0,,83.4,4.6,0.959641,0.000011
HD 80653 b,1.613,0.071,-0.071,5.72,0.36,-0.35,Bonomo 2023,0.0121,0.0004,3.62,0.21,0,,82.1,2.4,0.719573,0.000021
