pl_name,[Mg/H],Mg_err,[Si/H],[Fe/H],Fe_err,M_star,M_star_err,R_star,R_star_err,Star_CMF,Planet Radius,Planet Mass,Planet CMF
,,,,,,,,,,,,,
CoRoT-7 b,0.01,0.02,,0.07,0.01,0.87,0.02,0.83,0.01,,,,
K2-106 b,-0.01,0.02,0.07473795,0.070570074,0.01,0.9,0.01,0.97,0.02,,,,
EPIC 249893012 b,,,,,,,,,,,,,
GJ 1252 b,,,,,,,,,,,,,
GJ 3473 b,,,,,,,,,,,,,
GJ 357 b,,,,,,,,,,,,,
GJ 3929 b,,,,,,,,,,,,,
GJ 9827 b,,,,,,,,,,,,,
GJ 9827 c,,,,,,,,,,,,,
GJ 9827 d,,,,,,,,,,,,,
HD 136352 b,,,,,,,,,,,,,
HD 137496 b,,,,,,,,,,,,,
HD 15337 b,,,,,,,,,,,,,
HD 20329 b,,,,,,,,,,,,,
HD 213885 b,,,,,,,,,,,,,
HD 219134 b,,,,,,,,,,,,,
HD 219134 c,,,,,,,,,,,,,
HD 23472 b,,,,,,,,,,,,,
HD 23472 c,,,,,,,,,,,,,
HD 260655 b,,,,,,,,,,,,,
HD 260655 c,,,,,,,,,,,,,
HD 3167 b,,,,,,,,,,,,,
HD 80653 b,,,,,,,,,,,,,
HD 93963 A b,,,,,,,,,,,,,
K2-106 b,,,,,,,,,,,,,
K2-131 b,,,,,,,,,,,,,
K2-141 b,0.03,0.05,-0.017289992,0.04,0.03,0.74,0.01,0.69,0.01,,,,
K2-199 b,,,,,,,,,,,,,
K2-216 b,0.02,0.02,-0.06941805,0.37,0.01,0.68,0.01,0.69,0.02,,,,
K2-229 b,,,,,,,,,,,,,
K2-265 b,0.02,0.02,-0.0037672478,0,0.01,0.85,0.01,0.93,0.01,,,,
K2-291 b,-0.05,0.01,0.11802195,0.11,0.01,0.94,0.01,0.9,0.01,,,,
K2-36 b,,,,,,,,,,,,,
K2-38 b,0.01,0.02,0.31710395,0.24,0.01,1.01,0.01,1.15,0.02,,,,
Kepler-10 b,0.09,0.02,-0.035296045,-0.11,0.01,0.91,0.01,1.07,0.02,,,,
Kepler-100 b,0.02,0.02,0.13669795,0.07,0.01,1.08,0.02,1.55,0.03,,,,
Kepler-105 c,,,,,,,,,,,,,
Kepler-107 c,,,,,,,,,,,,,
Kepler-128 b,,,,,,,,,,,,,
Kepler-128 c,,,,,,,,,,,,,
Kepler-138 b,-0.07,,-0.1,-0.1,,,,,,,,,
Kepler-138 c,-0.07,,-0.1,-0.1,,,,,,,,,
Kepler-138 d,-0.07,,-0.1,-0.1,,,,,,,,,
Kepler-1972 b,,,,,,,,,,,,,
Kepler-1972 c,,,,,,,,,,,,,
Kepler-20 b,,,,,,,,,,,,,
Kepler-21 b,-0.05,0.02,-0.09358205,-0.15,0.02,1.18,0.02,1.95,0.03,,,,
Kepler-23 b,,,,,,,,,,,,,
Kepler-323 c,0,0.01,-0.14360504,-0.19,0.01,0.95,0.01,1.13,0.02,,,,
Kepler-36 b,,,,,,,,,,,,,
Kepler-406 b,,,,,,,,,,,,,
Kepler-407 b,0.02,0.02,0.43000385,0.37,0.01,1,0.01,1.02,0.03,,,,
Kepler-60 b,,,,,,,,,,,,,
Kepler-78 b,,,,,,,,,,,,,
Kepler-93 b,0.02,0.01,-0.110592656,-0.14,0.01,0.88,0,0.93,0.01,,,,
KOI-1831 d,,,,,,,,,,,,,
L 98-59 c,,,,,,,,,,,,,
L 98-59 d,,,,,,,,,,,,,
LHS 1478 b,,,,,,,,,,,,,
LTT 1445 A b,,,,,,,,,,,,,
LTT 1445 A c,,,,,,,,,,,,,
TOI-1075 b,,,,,,,,,,,,,
TOI-1235 b,0.07,0.03,,0,0.02,0.62,0.02,0.64,0.01,,,,
TOI-1266 c,,,,,,,,,,,,,
TOI-1347,-0.03,0.02,,0,0.01,0.89,0.01,0.84,0.02,,,,
TOI-1444 b,0.05,0.04,0.1249475,0.07,0.03,0.89,0.02,0.91,0.02,,,,
TOI-1450 A b,0.03,0.02,0.14,0.15,0.02,0.41,0.01,0.43,0.0003,,,,
TOI-1468 b,,,,,,,,,,,,,
TOI-1634 b,,,,,,,,,,,,,
TOI-1685 b,0.06,0.02,,0.05,0.02,0.41,0.01,0.43,0.0003,,,,
TOI-178 b,,,,,,,,,,,,,
TOI-178 c,,,,,,,,,,,,,
TOI-1798.02,0.02,0.02,-0.0014874485,0,0.01,0.83,0.01,0.78,0.01,,,,
TOI-270 b,,,,,,,,,,,,,
TOI-286 b,0.02,0.02,,-0.03,0.01,0.79,0.01,0.79,0.01,,,,
TOI-431 b,,,,,,,,,,,,,
TOI-500 b,,,,,,,,,,,,,
WASP-47 e,,,,,,,,,,,,,
WOLF 327,0.04,0.03,,0,0.02,0.44,0.01,0.46,0.01,,,,
