pl_name,aka,[Mg/H],[Si/H],[Fe/H],M_star,M_star_err,R_star,R_star_err,Star_CMF,Planet Radius,Planet Mass,Planet CMF
,,,,,,,,,,,,
CoRoT-7 b,,,,,,,,,,,,
K2-106 b,EPIC 220674823 b,0.04,0.03,0.05,0.91,0.05,0.98,0.04,,,,
EPIC 249893012 b,,,,,,,,,,,,
GJ 1252 b,,,,,,,,,,,,
GJ 3473 b,,,,,,,,,,,,
GJ 357 b,,,,,,,,,,,,
GJ 3929 b,,,,,,,,,,,,
GJ 9827 b,,,,,,,,,,,,
GJ 9827 c,,,,,,,,,,,,
GJ 9827 d,,,,,,,,,,,,
HD 136352 b,,-0.2,-0.23,-0.31,0.86,0.05,0.98,0.04,,,,
HD 137496 b,,,,,,,,,,,,
HD 15337 b,,0.13,0.12,0.12,0.85,0.04,0.85,0.03,,,,
HD 20329 b,,,,,,,,,,,,
HD 213885 b,,,,,,,,,,,,
HD 219134 b,,0.09,0.11,0.08,0.78,0.04,0.76,0.03,,,,
HD 219134 c,,0.09,0.11,0.08,0.78,0.04,0.76,0.03,,,,
HD 23472 b,,,,,,,,,,,,
HD 23472 c,,,,,,,,,,,,
HD 260655 b,,,,,,,,,,,,
HD 260655 c,,,,,,,,,,,,
HD 3167 b,,0.06,0.05,0.03,0.85,0.04,0.87,0.03,,,,
HD 80653 b,,,,,,,,,,,,
HD 93963 A b,,0.08,,0.1,,,,,,,,
K2-106 b,,,,,,,,,,,,
K2-131 b,,,,,,,,,,,,
K2-141 b,,,,,,,,,,,,
K2-199 b,,,,,,,,,,,,
K2-216 b,,,,,,,,,,,,
K2-229 b,,0.01,0.02,0.02,0.83,0.4,0.79,0.02,,,,
K2-265 b,,0.05,0.04,0.04,0.89,0.05,0.89,0.04,,,,
K2-291 b,,0.03,0..06,0.08,0.93,0.04,0.9,0.03,,,,
K2-36 b,,-0.06,0.03,-0.03,0.75,0.03,0.72,0.02,,,,
K2-38 b,,0.22,0.024,0.23,1.05,0.05,1.15,0.05,,,,
Kepler-10 b,,-0.07,-0.09,-0.17,0.89,0.05,1.06,0.06,,,,
Kepler-100 b,,0.05,,0.1,1.13,0.05,1.51,0.05,,,,
Kepler-105 c,,,,,,,,,,,,
Kepler-107 c,,,,,,,,,,,,
Kepler-128 b,,,,,,,,,,,,
Kepler-128 c,,,,,,,,,,,,
Kepler-138 b,,,,,,,,,,,,
Kepler-138 c,,,,,,,,,,,,
Kepler-138 d,,,,,,,,,,,,
Kepler-1972 b,,,,,,,,,,,,
Kepler-1972 c,,,,,,,,,,,,
Kepler-20 b,,0.03,0.03,0.01,0.89,0.04,0.97,0.12,,,,
Kepler-21 b,,-0.08,0.02,0,1.33,0.05,1.92,0.09,,,,
Kepler-23 b,,,,,,,,,,,,
Kepler-323 c,,,,,,,,,,,,
Kepler-36 b,,,,,,,,,,,,
Kepler-406 b,,0.21,0.22,0.21,1.01,0.04,1.07,0.04,,,,
Kepler-407 b,,0.33,,0.35,0.99,0.05,1.04,0.05,,,,
Kepler-60 b,,,,,,,,,,,,
Kepler-78 b,,-0.11,-0.01,0.21,0.78,0.03,0.75,0.02,,,,
Kepler-93 b,,-0.1,-0.13,-0.16,0.89,0.05,0.93,0.04,,,,
KOI-1831 d,,,,,,,,,,,,
L 98-59 c,,,,,,,,,,,,
L 98-59 d,,,,,,,,,,,,
LHS 1478 b,,,,,,,,,,,,
LTT 1445 A b,,,,,,,,,,,,
LTT 1445 A c,,,,,,,,,,,,
TOI-1075 b,,,,,,,,,,,,
TOI-1235 b,,,,,,,,,,,,
TOI-1266 c,,,,,,,,,,,,
TOI-1444 b,,0.06,0.04,0.04,0.88,0.05,0.91,0.03,,,,
TOI-1450 A b,,,,,,,,,,,,
TOI-1468 b,,,,,,,,,,,,
TOI-1634 b,,,,,,,,,,,,
TOI-1685 b,,,,,,,,,,,,
TOI-178 b,,,,,,,,,,,,
TOI-178 c,,,,,,,,,,,,
TOI-1798.02,,,,,,,,,,,,
TOI-270 b,,,,,,,,,,,,
TOI-431 b,,,,,,,,,,,,
TOI-500 b,,,,,,,,,,,,
WASP-47 e,,0.34,0.3,0.36,1.01,0.05,1.12,0.05,,,,
