pl_name,[Mg/H],[Si/H],[Fe/H],M_star,M_star_err,R_star,R_star_err,Star_CMF,Planet Radius,Planet Mass,Planet CMF,Fe/Mg,Fe/Mg_err
,,,,,,,,,,,,,
CoRoT-7 b,,,,,,,,,,,,,
EPIC 220674823 b,,,,,,,,,,,,,
EPIC 249893012 b,,,,,,,,,,,,,
GJ 1252 b,,,,,,,,,,,,,
GJ 3473 b,,,,,,,,,,,,,
GJ 357 b,,,,,,,,,,,,,
GJ 3929 b,,,,,,,,,,,,,
GJ 9827 b,,,,,,,,,,,,,
GJ 9827 c,,,,,,,,,,,,,
GJ 9827 d,,,,,,,,,,,,,
HD 136352 b,-0.021,-0.149,-0.28,0.88,0.03,1.03,0.01,,,,,,
HD 137496 b,,,,,,,,,,,,,
HD 15337 b,0.376,0.295,0.26,0.9,0.02,0.85,0.01,,,,,,
HD 20329 b,,,,,,,,,,,,,
HD 213885 b,0.049,0.068,0.01,0.96,0.02,1.1,0.01,,,,,,
HD 219134 b,0.379,0.292,0.24,0.8,0.02,0.76,0.01,,,,,,
HD 219134 c,0.379,0.292,0.24,0.8,0.02,0.76,0.01,,,,,,
HD 23472 b,,,,,,,,,,,,,
HD 23472 c,,,,,,,,,,,,,
HD 260655 b,,,,,,,,,,,,,
HD 260655 c,,,,,,,,,,,,,
HD 3167 b,,,,,,,,,,,,,
HD 80653 b,0.288,0.353,0.32,1.19,0.01,1.22,0.01,,,,,,
HD 93963 A b,,,,,,,,,,,,,
K2-106 b,0.094,0.127,0.09,0.93,0.01,0.99,0.01,,,,,0.83,0.155
K2-131 b,-0.036,-0.011,-0.08,0.83,0.01,0.76,0.01,,,,,,
K2-141 b,0.16,0.439,0.3,0.79,0.01,0.72,0.01,,,,,,
K2-199 b,,,,,,,,,,,,,
K2-216 b,,,,0.71,0.01,0.68,0.01,,,,,,
K2-229 b,0.2,0.428,0.2,0.89,0.01,0.8,0.01,,,,,,
K2-265 b,0.215,0.377,0.15,0.95,0.01,0.93,0.01,,,,,,
K2-291 b,0.074,0.08,0.07,0.92,0.02,0.89,0.02,,,,,,
K2-36 b,,,,,,,,,,,,,
K2-38 b,0.298,0.328,0.19,1.02,0.01,1.15,0.01,,,,,,
Kepler-10 b,0.125,-0.053,-0.12,0.92,0.02,1.08,0.01,,,,,,
Kepler-100 b,,,,,,,,,,,,,
Kepler-105 c,,,,1,0.01,1.05,0.01,,,,,,
Kepler-107 c,0.352,0.356,0.26,1.25,0.01,1.44,0.01,,,,,,
Kepler-128 b,,,,,,,,,,,,,
Kepler-128 c,,,,,,,,,,,,,
Kepler-138 b,,,,,,,,,,,,,
Kepler-138 c,,,,,,,,,,,,,
Kepler-138 d,,,,,,,,,,,,,
Kepler-1972 b,,,,,,,,,,,,,
Kepler-1972 c,,,,,,,,,,,,,
Kepler-20 b,-0.009,0.013,0.03,0.89,0.02,0.91,0.01,,,,,,
Kepler-21 b,,,,,,,,,,,,,
Kepler-23 b,,,,,,,,,,,,,
Kepler-323 c,,,,,,,,,,,,,
Kepler-36 b,-0.151,-0.139,-0.21,1.09,0.02,1.7,0.01,,,,,,
Kepler-406 b,,,,0.99,0.01,1.08,0.01,,,,,,
Kepler-407 b,,,,,,,,,,,,,
Kepler-60 b,,,,,,,,,,,,,
Kepler-78 b,0.152,0.111,0.04,0.82,0.01,0.75,0.01,,,,,,
Kepler-93 b,0.032,-0.103,-0.14,0.88,0.02,0.94,0.01,,,,,,
Kepler-99 b,,,,0.78,0.01,0.75,0.01,,,,,,
KOI-1599 b,,,,0.91,0.01,1.25,0.02,,,,,,
KOI-1831 d,,,,,,,,,,,,,
L 98-59 c,,,,,,,,,,,,,
L 98-59 d,,,,,,,,,,,,,
LHS 1478 b,,,,,,,,,,,,,
LTT 1445 A b,,,,,,,,,,,,,
LTT 1445 A c,,,,,,,,,,,,,
TOI-1075 b,,,,,,,,,,,,,
TOI-1235 b,,,,,,,,,,,,,
TOI-1266 c,,,,,,,,,,,,,
TOI-1444 b,,,,,,,,,,,,,
TOI-1450 A b,,,,,,,,,,,,,
TOI-1468 b,,,,,,,,,,,,,
TOI-1634 b,,,,,,,,,,,,,
TOI-1685 b,,,,,,,,,,,,,
TOI-178 b,,,,,,,,,,,,,
TOI-178 c,,,,,,,,,,,,,
TOI-1798.02,,,,,,,,,,,,,
TOI-270 b,,,,,,,,,,,,,
TOI-431 b,,,,,,,,,,,,,
TOI-500 b,,,,,,,,,,,,,
WASP-47 e,0.482,0.543,0.43,1.03,0.01,1.16,0.01,,,,,,
